POISSON BOLTZMANN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EPB,ENPOLAR,EDISPER,GGAS,GSOLV,TOTAL
261,-0.0,-0.0,-0.0,0.0,0.0,0.0,-37.09,-16.25,0.0,-0.0,35.02,-4.24,0.0,-53.34,30.78,-22.56
281,0.0,0.0,-0.0,-0.0,0.0,0.0,-42.73,-14.67,0.0,0.0,36.85,-4.35,0.0,-57.4,32.5,-24.9
301,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-39.5,-20.55,-0.0,-0.0,42.34,-4.45,0.0,-60.05,37.89,-22.15
321,0.0,0.0,-0.0,0.0,0.0,0.0,-37.91,-27.38,-0.0,0.0,41.54,-4.24,0.0,-65.28,37.3,-27.98
341,-0.0,-0.0,0.0,0.0,0.0,0.0,-36.22,-14.21,0.0,0.0,49.4,-4.46,0.0,-50.43,44.94,-5.48
361,0.0,-0.0,0.0,0.0,-0.0,0.0,-35.79,-23.36,-0.0,-0.0,46.01,-4.33,0.0,-59.16,41.68,-17.48
381,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-37.84,-15.83,-0.0,0.0,42.99,-4.3,0.0,-53.68,38.69,-14.98
401,0.0,0.0,-0.0,0.0,-0.0,0.0,-36.32,-20.0,-0.0,-0.0,36.13,-4.18,0.0,-56.31,31.95,-24.36
421,-0.0,0.0,0.0,-0.0,0.0,0.0,-41.68,-22.58,0.0,0.0,50.46,-4.33,0.0,-64.26,46.12,-18.13
441,-0.0,0.0,-0.0,0.0,-0.0,0.0,-36.59,-25.39,0.0,0.0,44.21,-4.35,0.0,-61.97,39.86,-22.12
461,-0.0,0.0,0.0,-0.0,0.0,0.0,-38.92,-24.68,-0.0,0.0,45.76,-4.18,0.0,-63.59,41.58,-22.01
481,-0.0,-0.0,0.0,-0.0,0.0,0.0,-43.1,-22.31,0.0,-0.0,41.96,-4.12,0.0,-65.41,37.84,-27.57
501,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-34.39,-29.59,0.0,0.0,48.6,-4.45,0.0,-63.98,44.15,-19.83
521,0.0,0.0,0.0,-0.0,0.0,0.0,-42.16,-32.69,0.0,-0.0,49.61,-4.26,0.0,-74.85,45.35,-29.5
541,0.0,0.0,0.0,0.0,0.0,0.0,-38.61,-16.1,-0.0,0.0,47.43,-4.21,0.0,-54.72,43.22,-11.5
561,0.0,0.0,-0.0,0.0,0.0,0.0,-41.76,-26.68,0.0,0.0,36.18,-4.51,0.0,-68.44,31.67,-36.76
581,0.0,0.0,0.0,0.0,0.0,0.0,-40.58,-23.07,-0.0,-0.0,44.82,-4.27,0.0,-63.65,40.55,-23.09
601,-0.0,-0.0,0.0,0.0,0.0,0.0,-35.53,-13.32,0.0,-0.0,35.2,-4.28,0.0,-48.85,30.92,-17.93
621,0.0,0.0,0.0,-0.0,-0.0,0.0,-41.2,-30.83,0.0,0.0,45.31,-4.22,0.0,-72.03,41.1,-30.93
641,-0.0,0.0,0.0,0.0,-0.0,0.0,-41.89,-21.07,0.0,-0.0,41.49,-4.13,0.0,-62.96,37.36,-25.6
661,0.0,0.0,0.0,0.0,-0.0,0.0,-35.65,-17.47,-0.0,-0.0,37.99,-4.68,0.0,-53.12,33.31,-19.81
681,0.0,0.0,0.0,-0.0,0.0,0.0,-43.22,-19.88,-0.0,0.0,45.93,-4.15,0.0,-63.1,41.77,-21.33
701,0.0,0.0,-0.0,-0.0,-0.0,0.0,-42.31,-17.19,0.0,-0.0,38.37,-4.2,0.0,-59.51,34.17,-25.33


